CP,Estado,Municipio,Tipo de Asentamiento,Asentamiento,Clave de Oficina
1539,Ciudad de México,Álvaro Obregón,Colonia,Acuilotla,1401
1539,Ciudad de México,Álvaro Obregón,Colonia,Cooperativa Unión Olivos,1401
1540,Ciudad de México,Álvaro Obregón,Colonia,Balcones de Cehuayo,1401
1540,Ciudad de México,Álvaro Obregón,Colonia,Cehuaya,1401
1540,Ciudad de México,Álvaro Obregón,Colonia,Llano Redondo,1401
1540,Ciudad de México,Álvaro Obregón,Colonia,Punta de Cehuaya,1401
1548,Ciudad de México,Álvaro Obregón,Colonia,Villa Progresista,1401
1549,Ciudad de México,Álvaro Obregón,Colonia,Dos Ríos del Pueblo Santa Lucía,1401
1550,Ciudad de México,Álvaro Obregón,Colonia,Tepeaca,1401
1550,Ciudad de México,Álvaro Obregón,Colonia,Ampliación Tepeaca,1401
1550,Ciudad de México,Álvaro Obregón,Colonia,Rinconada Las Cuevitas,1401
1560,Ciudad de México,Álvaro Obregón,Colonia,Ave Real,1401
1560,Ciudad de México,Álvaro Obregón,Colonia,Canutillo,1401
1560,Ciudad de México,Álvaro Obregón,Colonia,Canutillo 3a Sección,1401
1560,Ciudad de México,Álvaro Obregón,Colonia,Canutillo 2a Sección,1401
1566,Ciudad de México,Álvaro Obregón,Colonia,Hueytlale,1401
1569,Ciudad de México,Álvaro Obregón,Colonia,Reacomodo Valentín Gómez Farías,1401
1588,Ciudad de México,Álvaro Obregón,Colonia,Tarango,1401
1590,Ciudad de México,Álvaro Obregón,Colonia,El Rincón,1401
1600,Ciudad de México,Álvaro Obregón,Colonia,Merced Gómez,1401
1610,Ciudad de México,Álvaro Obregón,Colonia,Colinas de Tarango,1401
1610,Ciudad de México,Álvaro Obregón,Colonia,Profesor J. Arturo López Martínez,1401
1618,Ciudad de México,Álvaro Obregón,Colonia,Arcos Centenario,1401
1618,Ciudad de México,Álvaro Obregón,Colonia,Ex-Hacienda de Tarango,1401
1619,Ciudad de México,Álvaro Obregón,Colonia,La Martinica,1401
7180,Ciudad de México,Gustavo A. Madero,Colonia,General Felipe Berriozabal,7201
7180,Ciudad de México,Gustavo A. Madero,Colonia,Ampliación Cocoyotes,7201
7183,Ciudad de México,Gustavo A. Madero,Colonia,6 de Junio,7201
7187,Ciudad de México,Gustavo A. Madero,Colonia,Vista Hermosa,7201
7188,Ciudad de México,Gustavo A. Madero,Colonia,Tlalpexco,7201
7189,Ciudad de México,Gustavo A. Madero,Colonia,Ahuehuetes,7201
7190,Ciudad de México,Gustavo A. Madero,Colonia,Valle de Madero,7201
7199,Ciudad de México,Gustavo A. Madero,Colonia,Del Carmen,7201
7200,Ciudad de México,Gustavo A. Madero,Colonia,Cuautepec de Madero,7201
7207,Ciudad de México,Gustavo A. Madero,Colonia,Del Bosque,7201
7209,Ciudad de México,Gustavo A. Madero,Colonia,Guadalupe Victoria Cuautepec,7201
7210,Ciudad de México,Gustavo A. Madero,Colonia,Chalma de Guadalupe,7201
7214,Ciudad de México,Gustavo A. Madero,Colonia,Ampliación Chalma de Guadalupe,7201
7220,Ciudad de México,Gustavo A. Madero,Colonia,Castillo Chico,7201
7220,Ciudad de México,Gustavo A. Madero,Colonia,Castillo Grande,7201
7224,Ciudad de México,Gustavo A. Madero,Colonia,Ampliación Castillo Grande,7201
7230,Ciudad de México,Gustavo A. Madero,Colonia,Zona Escolar,7201
7239,Ciudad de México,Gustavo A. Madero,Colonia,Zona Escolar Oriente,7201
7240,Ciudad de México,Gustavo A. Madero,Colonia,El Arbolillo,7201
7250,Ciudad de México,Gustavo A. Madero,Colonia,Benito Juárez,7201
7259,Ciudad de México,Gustavo A. Madero,Colonia,Ampliación Benito Juárez,7201
7268,Ciudad de México,Gustavo A. Madero,Colonia,Solidaridad Nacional,7201
7270,Ciudad de México,Gustavo A. Madero,Colonia,Residencial Acueducto de Guadalupe,7201
7279,Ciudad de México,Gustavo A. Madero,Colonia,Acueducto de Guadalupe,7201
7280,Ciudad de México,Gustavo A. Madero,Colonia,Jorge Negrete,7201
7290,Ciudad de México,Gustavo A. Madero,Colonia,La Pastora,7201
7300,Ciudad de México,Gustavo A. Madero,Colonia,Lindavista Norte,7051
7300,Ciudad de México,Gustavo A. Madero,Colonia,Lindavista Sur,7051
7310,Ciudad de México,Gustavo A. Madero,Barrio,Candelaria Ticomán,7311
7320,Ciudad de México,Gustavo A. Madero,Barrio,La Purísima Ticomán,7311
7320,Ciudad de México,Gustavo A. Madero,Colonia,Residencial la Escalera,7311
7330,Ciudad de México,Gustavo A. Madero,Colonia,Santa María Ticomán,7311
7340,Ciudad de México,Gustavo A. Madero,Barrio,La Laguna Ticomán,7311
7340,Ciudad de México,Gustavo A. Madero,Colonia,San José Ticomán,7311
7350,Ciudad de México,Gustavo A. Madero,Barrio,Guadalupe Ticomán,7311
7350,Ciudad de México,Gustavo A. Madero,Barrio,San Juan y Guadalupe Ticomán,7311
7359,Ciudad de México,Gustavo A. Madero,Barrio,San Rafael Ticomán,7311
7360,Ciudad de México,Gustavo A. Madero,Colonia,San Pedro Zacatenco,7051
7369,Ciudad de México,Gustavo A. Madero,Colonia,Residencial Zacatenco,7051
7370,Ciudad de México,Gustavo A. Madero,Colonia,Capultitlan,7001
7380,Ciudad de México,Gustavo A. Madero,Colonia,Maximino Ávila Camacho,7001
7380,Ciudad de México,Gustavo A. Madero,Colonia,Tlacamaca,7001
7400,Ciudad de México,Gustavo A. Madero,Colonia,Salvador Díaz Mirón,7001
7410,Ciudad de México,Gustavo A. Madero,Colonia,Juan González Romero,7001
7410,Ciudad de México,Gustavo A. Madero,Colonia,Villa Hermosa,7001
7420,Ciudad de México,Gustavo A. Madero,Colonia,El Coyol,7001
7420,Ciudad de México,Gustavo A. Madero,Colonia,Nueva Atzacoalco,7001
7430,Ciudad de México,Gustavo A. Madero,Colonia,Del Obrero,7001
7440,Ciudad de México,Gustavo A. Madero,Colonia,Vasco de Quiroga,7001
7450,Ciudad de México,Gustavo A. Madero,Colonia,DM Nacional,7001
7455,Ciudad de México,Gustavo A. Madero,Colonia,Ferrocarrilera,7001
7456,Ciudad de México,Gustavo A. Madero,Colonia,LI Legislatura,7001
7460,Ciudad de México,Gustavo A. Madero,Colonia,Granjas Modernas,7001
7469,Ciudad de México,Gustavo A. Madero,Colonia,Constitución de La República,7001
7470,Ciudad de México,Gustavo A. Madero,Colonia,Ampliación San Juan de Aragón,7001
7480,Ciudad de México,Gustavo A. Madero,Colonia,San Pedro El Chico,7001
11260,Ciudad de México,Miguel Hidalgo,Colonia,México Nuevo,11411
11260,Ciudad de México,Miguel Hidalgo,Colonia,San Joaquín,11411
11270,Ciudad de México,Miguel Hidalgo,Colonia,Argentina Antigua,11411
11280,Ciudad de México,Miguel Hidalgo,Colonia,Torre Blanca,11411
11289,Ciudad de México,Miguel Hidalgo,Colonia,Ampliación Torre Blanca,11411
11290,Ciudad de México,Miguel Hidalgo,Colonia,Huíchapan,11411
11290,Ciudad de México,Miguel Hidalgo,Colonia,San Diego Ocoyoacac,11411
11300,Ciudad de México,Miguel Hidalgo,Colonia,Verónica Anzures,11411
11310,Ciudad de México,Miguel Hidalgo,Colonia,Mariano Escobedo,11411
11320,Ciudad de México,Miguel Hidalgo,Colonia,Anáhuac I Sección,11411
11320,Ciudad de México,Miguel Hidalgo,Colonia,Anáhuac II Sección,11411
11330,Ciudad de México,Miguel Hidalgo,Colonia,Un Hogar Para Nosotros,11411
11340,Ciudad de México,Miguel Hidalgo,Colonia,Santo Tomas,11411
11350,Ciudad de México,Miguel Hidalgo,Colonia,Plutarco Elías Calles,11411
11360,Ciudad de México,Miguel Hidalgo,Colonia,Agricultura,11411
11370,Ciudad de México,Miguel Hidalgo,Colonia,Tlaxpana,11411
11400,Ciudad de México,Miguel Hidalgo,Colonia,Popotla,11411
11410,Ciudad de México,Miguel Hidalgo,Colonia,Legaria,11411
11410,Ciudad de México,Miguel Hidalgo,Pueblo,Tacuba,11411
11420,Ciudad de México,Miguel Hidalgo,Colonia,Nextitla,11411
11430,Ciudad de México,Miguel Hidalgo,Colonia,Pensil Norte,11411
11430,Ciudad de México,Miguel Hidalgo,Colonia,Ventura Pérez de Alva,11411
11440,Ciudad de México,Miguel Hidalgo,Colonia,Reforma Pensil,11411
11440,Ciudad de México,Miguel Hidalgo,Colonia,San Juanico,11411
11450,Ciudad de México,Miguel Hidalgo,Colonia,Ahuehuetes Anáhuac,11411
11450,Ciudad de México,Miguel Hidalgo,Colonia,Modelo Pensil,11411
11450,Ciudad de México,Miguel Hidalgo,Colonia,Peralitos,11411
11460,Ciudad de México,Miguel Hidalgo,Colonia,Dos Lagos,11411
11460,Ciudad de México,Miguel Hidalgo,Colonia,Lago Norte,11411
11460,Ciudad de México,Miguel Hidalgo,Colonia,Lago Sur,11411
11460,Ciudad de México,Miguel Hidalgo,Colonia,Los Manzanos,11411
11470,Ciudad de México,Miguel Hidalgo,Colonia,5 de Mayo,11411
11470,Ciudad de México,Miguel Hidalgo,Colonia,Deportivo Pensil,11411
11480,Ciudad de México,Miguel Hidalgo,Colonia,Francisco I Madero,11411
11480,Ciudad de México,Miguel Hidalgo,Colonia,Popo,11411
11489,Ciudad de México,Miguel Hidalgo,Colonia,Ampliación Popo,11411
11490,Ciudad de México,Miguel Hidalgo,Colonia,Cuauhtémoc Pensil,11411
11490,Ciudad de México,Miguel Hidalgo,Colonia,Pensil Sur,11411
11500,Ciudad de México,Miguel Hidalgo,Colonia,Irrigación,11591
11510,Ciudad de México,Miguel Hidalgo,Colonia,Polanco I Sección,11591
11520,Ciudad de México,Miguel Hidalgo,Colonia,Granada,11591
11529,Ciudad de México,Miguel Hidalgo,Colonia,Ampliación Granada,11591
11530,Ciudad de México,Miguel Hidalgo,Colonia,Polanco II Sección,11591
11540,Ciudad de México,Miguel Hidalgo,Colonia,Polanco III Sección,11591
11550,Ciudad de México,Miguel Hidalgo,Colonia,Polanco IV Sección,11591
11560,Ciudad de México,Miguel Hidalgo,Colonia,Polanco V Sección,11591
11580,Ciudad de México,Miguel Hidalgo,Equipamiento,Bosque de Chapultepec I Sección,11591
11590,Ciudad de México,Miguel Hidalgo,Colonia,Anzures,11591
11600,Ciudad de México,Miguel Hidalgo,Colonia,Residencial Militar,11801
16443,Ciudad de México,Xochimilco,Barrio,Pocitos,16001
16450,Ciudad de México,Xochimilco,Pueblo,Santa María Nativitas,16001
16457,Ciudad de México,Xochimilco,Colonia,Lomas de Nativitas,16001
16459,Ciudad de México,Xochimilco,Colonia,Ampliación Nativitas,16001
16500,Ciudad de México,Xochimilco,Pueblo,Santa Cruz Acalpixca,16001
16513,Ciudad de México,Xochimilco,Barrio,Apatlaco,16001
16513,Ciudad de México,Xochimilco,Barrio,Del Puente,16001
16514,Ciudad de México,Xochimilco,Barrio,La Gallera,16001
16514,Ciudad de México,Xochimilco,Barrio,Tetitla,16001
16514,Ciudad de México,Xochimilco,Barrio,Calpulco,16001
16520,Ciudad de México,Xochimilco,Barrio,La Planta,16001
16530,Ciudad de México,Xochimilco,Barrio,Las Cruces,16001
16530,Ciudad de México,Xochimilco,Barrio,Las Flores,16001
16533,Ciudad de México,Xochimilco,Barrio,Ahualapa,16001
16550,Ciudad de México,Xochimilco,Colonia,Valle de Santa María,16001
16600,Ciudad de México,Xochimilco,Pueblo,San Gregorio Atlapulco,16001
16604,Ciudad de México,Xochimilco,Barrio,San Andrés,16001
16605,Ciudad de México,Xochimilco,Barrio,Los Reyes,16001
16606,Ciudad de México,Xochimilco,Barrio,3 de Mayo,16001
16607,Ciudad de México,Xochimilco,Barrio,San Antonio,16001
16609,Ciudad de México,Xochimilco,Barrio,La Candelaria,16001
16610,Ciudad de México,Xochimilco,Pueblo,San Luis Tlaxialtemalco,16001
16614,Ciudad de México,Xochimilco,Barrio,Niños Héroes,16001
16615,Ciudad de México,Xochimilco,Barrio,La Asunción,16001
16616,Ciudad de México,Xochimilco,Barrio,Santa Cecilia,16001
16617,Ciudad de México,Xochimilco,Barrio,San Sebastián,16001
16620,Ciudad de México,Xochimilco,Barrio,San José,16001
16629,Ciudad de México,Xochimilco,Barrio,La Guadalupana,16001
16629,Ciudad de México,Xochimilco,Barrio,San Juan,16001
16630,Ciudad de México,Xochimilco,Barrio,San Juan Moyotepec,16001
16640,Ciudad de México,Xochimilco,Barrio,San Juan Minas,16001
16710,Ciudad de México,Xochimilco,Colonia,Quirino Mendoza,16001
16720,Ciudad de México,Xochimilco,Colonia,Del Carmen,16001
16739,Ciudad de México,Xochimilco,Colonia,San Isidro,16001
16740,Ciudad de México,Xochimilco,Colonia,Guadalupita,16001
16749,Ciudad de México,Xochimilco,Colonia,Las Animas,16001
16750,Ciudad de México,Xochimilco,Barrio,Calyequita,16001
16770,Ciudad de México,Xochimilco,Colonia,San Felipe,16001
16776,Ciudad de México,Xochimilco,Colonia,Santiaguito,16001
16776,Ciudad de México,Xochimilco,Colonia,El Mirador,16001
16780,Ciudad de México,Xochimilco,Colonia,Cerrillos Primera Sección,16001
16780,Ciudad de México,Xochimilco,Colonia,El Sacrificio,16001
16780,Ciudad de México,Xochimilco,Colonia,Cristo Rey,16001
16780,Ciudad de México,Xochimilco,Colonia,Cerrillos Segunda Sección,16001
16780,Ciudad de México,Xochimilco,Colonia,Cerrillos Tercera Sección,16001
16797,Ciudad de México,Xochimilco,Colonia,Nativitas,16001
16799,Ciudad de México,Xochimilco,Colonia,Las Mesitas,16001
16800,Ciudad de México,Xochimilco,Pueblo,San Mateo Xalpa,16001
16810,Ciudad de México,Xochimilco,Pueblo,San Andrés Ahuayucan,16001
16810,Ciudad de México,Xochimilco,Colonia,Santa Inés,16001
16810,Ciudad de México,Xochimilco,Colonia,Rosario Tlali,16001
16813,Ciudad de México,Xochimilco,Barrio,El Calvario,16001
16840,Ciudad de México,Xochimilco,Colonia,Santa Cruz Chavarrieta,16001
16850,Ciudad de México,Xochimilco,Barrio,Chapultepec,16001
16860,Ciudad de México,Xochimilco,Colonia,Santa Cruz de Guadalupe,16001
16880,Ciudad de México,Xochimilco,Pueblo,Santa Cecilia Tepetlapa,16001
16900,Ciudad de México,Xochimilco,Pueblo,San Francisco Tlalnepantla,16001
2480,Ciudad de México,Azcapotzalco,Colonia,Petrolera,2431
2490,Ciudad de México,Azcapotzalco,Barrio,San Mateo,2431
2500,Ciudad de México,Azcapotzalco,Colonia,Unidad Cuitlahuac,2011
2519,Ciudad de México,Azcapotzalco,Colonia,El Jagüey,2011
2520,Ciudad de México,Azcapotzalco,Equipamiento,Estación Pantaco,2601
2530,Ciudad de México,Azcapotzalco,Colonia,Jardín Azpeitia,2011
2600,Ciudad de México,Azcapotzalco,Colonia,Pro-Hogar,2601
2630,Ciudad de México,Azcapotzalco,Barrio,Coltongo,2601
2630,Ciudad de México,Azcapotzalco,Colonia,Coltongo,2601
2640,Ciudad de México,Azcapotzalco,Colonia,Monte Alto,2601
2650,Ciudad de México,Azcapotzalco,Colonia,Trabajadores de Hierro,2601
2660,Ciudad de México,Azcapotzalco,Colonia,Euzkadi,2601
2670,Ciudad de México,Azcapotzalco,Colonia,Cosmopolita,2601
2680,Ciudad de México,Azcapotzalco,Colonia,Potrero del Llano,2601
2700,Ciudad de México,Azcapotzalco,Pueblo,San Miguel Amantla,2431
2710,Ciudad de México,Azcapotzalco,Pueblo,San Pedro Xalpa,2431
2719,Ciudad de México,Azcapotzalco,Colonia,Ampliación San Pedro Xalpa,2431
2720,Ciudad de México,Azcapotzalco,Colonia,San Antonio,2431
2720,Ciudad de México,Azcapotzalco,Pueblo,San Bartolo Cahualtongo,2431
2730,Ciudad de México,Azcapotzalco,Pueblo,San Francisco Tetecala,2431
2750,Ciudad de México,Azcapotzalco,Pueblo,Santiago Ahuizotla,2431
2760,Ciudad de México,Azcapotzalco,Colonia,Industrial San Antonio,2011
2760,Ciudad de México,Azcapotzalco,Barrio,Santa Lucía,2011
2770,Ciudad de México,Azcapotzalco,Pueblo,Santa Cruz Acayucan,2431
2780,Ciudad de México,Azcapotzalco,Colonia,Plenitud,2431
2790,Ciudad de México,Azcapotzalco,Barrio,Santa Apolonia,2011
2800,Ciudad de México,Azcapotzalco,Colonia,Nueva Santa María,2601
2810,Ciudad de México,Azcapotzalco,Colonia,Ignacio Allende,2601
2810,Ciudad de México,Azcapotzalco,Colonia,Victoria de las Democracias,2601
2830,Ciudad de México,Azcapotzalco,Barrio,San Bernabé,2601
2840,Ciudad de México,Azcapotzalco,Colonia,Obrero Popular,2601
2860,Ciudad de México,Azcapotzalco,Colonia,Tlatilco,2601
2870,Ciudad de México,Azcapotzalco,Colonia,San Salvador Xochimanca,2601
2900,Ciudad de México,Azcapotzalco,Colonia,Aguilera,2601
2910,Ciudad de México,Azcapotzalco,Colonia,Aldana,2601
2920,Ciudad de México,Azcapotzalco,Colonia,Ampliación Cosmopolita,2601
2930,Ciudad de México,Azcapotzalco,Colonia,Liberación,2601
2940,Ciudad de México,Azcapotzalco,Colonia,Porvenir,2601
2950,Ciudad de México,Azcapotzalco,Colonia,Del Gas,2601
2960,Ciudad de México,Azcapotzalco,Pueblo,San Francisco Xocotitla,2601
2970,Ciudad de México,Azcapotzalco,Colonia,Ampliación Del Gas,2601
2980,Ciudad de México,Azcapotzalco,Colonia,Arenal,2601
2980,Ciudad de México,Azcapotzalco,Colonia,Patrimonio Familiar,2601
2990,Ciudad de México,Azcapotzalco,Colonia,La Raza,2601
3000,Ciudad de México,Benito Juárez,Colonia,Piedad Narvarte,3001
3010,Ciudad de México,Benito Juárez,Colonia,Atenor Salas,3001
3020,Ciudad de México,Benito Juárez,Colonia,Narvarte Poniente,3001
3023,Ciudad de México,Benito Juárez,Colonia,Narvarte Oriente,3001
3100,Ciudad de México,Benito Juárez,Colonia,Del Valle Centro,3001
8770,Ciudad de México,Iztacalco,Colonia,Los Picos de Iztacalco Sección 1A,8231
8800,Ciudad de México,Iztacalco,Barrio,Santiago Sur,8231
8810,Ciudad de México,Iztacalco,Colonia,Reforma Iztaccíhuatl Norte,8231
8830,Ciudad de México,Iztacalco,Colonia,Militar Marte,8231
8840,Ciudad de México,Iztacalco,Colonia,Reforma Iztaccíhuatl Sur,8231
8900,Ciudad de México,Iztacalco,Colonia,INFONAVIT Iztacalco,8231
8910,Ciudad de México,Iztacalco,Barrio,Santa Cruz,8231
8920,Ciudad de México,Iztacalco,Colonia,Jardines Tecma,8231
8930,Ciudad de México,Iztacalco,Colonia,Campamento 2 de Octubre,8231
9000,Ciudad de México,Iztapalapa,Barrio,La Asunción,9081
9000,Ciudad de México,Iztapalapa,Barrio,San Ignacio,9081
9000,Ciudad de México,Iztapalapa,Barrio,San José,9081
9000,Ciudad de México,Iztapalapa,Barrio,San Lucas,9081
9000,Ciudad de México,Iztapalapa,Barrio,San Pablo,9081
9000,Ciudad de México,Iztapalapa,Barrio,San Pedro,9081
9000,Ciudad de México,Iztapalapa,Barrio,Santa Bárbara,9081
9010,Ciudad de México,Iztapalapa,Colonia,Real del Moral,9081
9020,Ciudad de México,Iztapalapa,Colonia,Dr. Alfonso Ortiz Tirado,9081
9030,Ciudad de México,Iztapalapa,Colonia,Paseos de Churubusco,9081
9040,Ciudad de México,Iztapalapa,Colonia,Central de Abasto,9081
9060,Ciudad de México,Iztapalapa,Colonia,Escuadrón 201,9081
9060,Ciudad de México,Iztapalapa,Colonia,Sector Popular,9081
9070,Ciudad de México,Iztapalapa,Colonia,Granjas de San Antonio,9081
9080,Ciudad de México,Iztapalapa,Colonia,Cacama,9081
9089,Ciudad de México,Iztapalapa,Colonia,Unidad Modelo,9081
9090,Ciudad de México,Iztapalapa,Colonia,Héroes de Churubusco,9081
9099,Ciudad de México,Iztapalapa,Pueblo,Mexicaltzingo,9081
9100,Ciudad de México,Iztapalapa,Colonia,Juan Escutia,9181
9130,Ciudad de México,Iztapalapa,Pueblo,San Lorenzo Xicotencatl,9181
9140,Ciudad de México,Iztapalapa,Colonia,Santa Martha Acatitla Norte,9181
9180,Ciudad de México,Iztapalapa,Colonia,Ermita Zaragoza,9181
9200,Ciudad de México,Iztapalapa,Colonia,Unidad Vicente Guerrero,9201
9208,Ciudad de México,Iztapalapa,Colonia,Chinampac de Juárez,9201
9209,Ciudad de México,Iztapalapa,Colonia,Renovación,9201
9210,Ciudad de México,Iztapalapa,Colonia,Tepalcates,9201
9220,Ciudad de México,Iztapalapa,Colonia,Unidad Ejército Constitucionalista,9201
9230,Ciudad de México,Iztapalapa,Colonia,Álvaro Obregón,9201
9230,Ciudad de México,Iztapalapa,Colonia,Ejército de Oriente,9201
9230,Ciudad de México,Iztapalapa,Colonia,El Paraíso,9201
9230,Ciudad de México,Iztapalapa,Colonia,José María Morelos y Pavón,9201
9239,Ciudad de México,Iztapalapa,Colonia,Ejército de Oriente Zona Peñón,9201
9240,Ciudad de México,Iztapalapa,Colonia,Progresista,9201
9250,Ciudad de México,Iztapalapa,Colonia,La Regadera,9201
9260,Ciudad de México,Iztapalapa,Colonia,Constitución de 1917,9201
9270,Ciudad de México,Iztapalapa,Colonia,Colonial Iztapalapa,9201
9280,Ciudad de México,Iztapalapa,Colonia,Jacarandas,9201
9290,Ciudad de México,Iztapalapa,Colonia,Santa Cruz Meyehualco,9201
9300,Ciudad de México,Iztapalapa,Colonia,Guadalupe del Moral,9201
9310,Ciudad de México,Iztapalapa,Colonia,Leyes de Reforma 1a Sección,9201
9310,Ciudad de México,Iztapalapa,Colonia,Leyes de Reforma 2a Sección,9201
9310,Ciudad de México,Iztapalapa,Colonia,Leyes de Reforma 3a Sección,9201
9319,Ciudad de México,Iztapalapa,Colonia,Cuchilla del Moral,9201
9320,Ciudad de México,Iztapalapa,Colonia,Sideral,9201
9350,Ciudad de México,Iztapalapa,Colonia,Albarrada,9201
15290,Ciudad de México,Venustiano Carranza,Colonia,10 de Mayo,15001
15300,Ciudad de México,Venustiano Carranza,Colonia,20 de Noviembre,15001
15309,Ciudad de México,Venustiano Carranza,Colonia,5o Tramo 20 de Noviembre,15001
15310,Ciudad de México,Venustiano Carranza,Colonia,Felipe Ángeles,15001
15320,Ciudad de México,Venustiano Carranza,Colonia,Azteca,15001
15330,Ciudad de México,Venustiano Carranza,Colonia,Tres Mosqueteros,15001
15339,Ciudad de México,Venustiano Carranza,Colonia,Ampliación Venustiano Carranza,15001
15340,Ciudad de México,Venustiano Carranza,Colonia,Venustiano Carranza,15001
15350,Ciudad de México,Venustiano Carranza,Colonia,Ampliación Penitenciaria,15001
15370,Ciudad de México,Venustiano Carranza,Colonia,Progresista,15001
15380,Ciudad de México,Venustiano Carranza,Colonia,Escuela de Tiro,15001
15390,Ciudad de México,Venustiano Carranza,Colonia,7 de Julio,15001
15400,Ciudad de México,Venustiano Carranza,Colonia,Romero Rubio,15001
15410,Ciudad de México,Venustiano Carranza,Colonia,Simón Bolívar,15001
15420,Ciudad de México,Venustiano Carranza,Colonia,Ampliación Simón Bolívar,15001
15430,Ciudad de México,Venustiano Carranza,Colonia,Aquiles Serdán,15001
15440,Ciudad de México,Venustiano Carranza,Colonia,1° de Mayo,15001
15450,Ciudad de México,Venustiano Carranza,Colonia,Damián Carmona,15001
15460,Ciudad de México,Venustiano Carranza,Colonia,Revolución,15001
15470,Ciudad de México,Venustiano Carranza,Colonia,Miguel Hidalgo,15001
15500,Ciudad de México,Venustiano Carranza,Colonia,Moctezuma 1a Sección,15001
15510,Ciudad de México,Venustiano Carranza,Colonia,Pensador Mexicano,15001
15520,Ciudad de México,Venustiano Carranza,Colonia,Peñón de los Baños,15001
15530,Ciudad de México,Venustiano Carranza,Colonia,Moctezuma 2a Sección,15001
15540,Ciudad de México,Venustiano Carranza,Colonia,Santa Cruz Aviación,15001
15600,Ciudad de México,Venustiano Carranza,Colonia,Arenal 1a Sección,15001
15610,Ciudad de México,Venustiano Carranza,Colonia,Cuchilla Pantitlán,15001
15620,Ciudad de México,Venustiano Carranza,Aeropuerto,México (Lic. Benito Juárez),15001
15630,Ciudad de México,Venustiano Carranza,Colonia,Caracol,15001
15640,Ciudad de México,Venustiano Carranza,Colonia,Arenal 4a Sección,15001
15640,Ciudad de México,Venustiano Carranza,Colonia,Arenal Puerto Aéreo,15001
15650,Ciudad de México,Venustiano Carranza,Colonia,Ampliación Caracol,15001
15660,Ciudad de México,Venustiano Carranza,Colonia,Arenal 3a Sección,15001
15670,Ciudad de México,Venustiano Carranza,Colonia,Adolfo López Mateos,15001
15680,Ciudad de México,Venustiano Carranza,Colonia,Arenal 2a Sección,15001
15700,Ciudad de México,Venustiano Carranza,Colonia,Federal,15001
15710,Ciudad de México,Venustiano Carranza,Colonia,Industrial Puerto Aéreo,15001
15730,Ciudad de México,Venustiano Carranza,Colonia,4 Árboles,15001
15740,Ciudad de México,Venustiano Carranza,Colonia,Aviación Civil,15001
15750,Ciudad de México,Venustiano Carranza,Colonia,Ampliación Aviación Civil,15001
15800,Ciudad de México,Venustiano Carranza,Colonia,Jamaica,15001
15810,Ciudad de México,Venustiano Carranza,Colonia,Merced Balbuena,15001
15820,Ciudad de México,Venustiano Carranza,Colonia,Lorenzo Boturini,15001
15830,Ciudad de México,Venustiano Carranza,Colonia,Artes Gráficas,15001
15840,Ciudad de México,Venustiano Carranza,Colonia,Sevilla,15001
15850,Ciudad de México,Venustiano Carranza,Colonia,Magdalena Mixiuhca,15001
15860,Ciudad de México,Venustiano Carranza,Pueblo,La Magdalena Mixiuhca,15001
13550,Ciudad de México,Tláhuac,Colonia,Jardines del Llano,13011
13550,Ciudad de México,Tláhuac,Colonia,Potrero del Llano,13011
13600,Ciudad de México,Tláhuac,Barrio,San Bartolomé,13611
13610,Ciudad de México,Tláhuac,Barrio,Los Reyes,13611
13625,Ciudad de México,Tláhuac,Barrio,Santa Cruz,13611
13630,Ciudad de México,Tláhuac,Barrio,San Agustín,13611
13640,Ciudad de México,Tláhuac,Barrio,San Miguel,13611
13700,Ciudad de México,Tláhuac,Pueblo,San Nicolás Tetelco,13611
13700,Ciudad de México,Tláhuac,Colonia,Tepantitlamilco,13611
14000,Ciudad de México,Tlalpan,Colonia,Tlalpan Centro,14091
14000,Ciudad de México,Tlalpan,Colonia,Tlalpan,14091
14010,Ciudad de México,Tlalpan,Colonia,Parque del Pedregal,14091
14020,Ciudad de México,Tlalpan,Colonia,Villa Olímpica,14091
14030,Ciudad de México,Tlalpan,Colonia,Isidro Fabela,14091
14039,Ciudad de México,Tlalpan,Colonia,Ampliación Isidro Fabela,14091
14040,Ciudad de México,Tlalpan,Colonia,Cantera Puente de Piedra,14091
14040,Ciudad de México,Tlalpan,Colonia,Pueblo Quieto,14091
14049,Ciudad de México,Tlalpan,Colonia,Comuneros de Santa Úrsula,14091
14050,Ciudad de México,Tlalpan,Colonia,Toriello Guerra,14091
14060,Ciudad de México,Tlalpan,Colonia,Peña Pobre,14091
14070,Ciudad de México,Tlalpan,Colonia,Rómulo Sánchez Mireles,14091
14070,Ciudad de México,Tlalpan,Barrio,San Fernando,14091
14070,Ciudad de México,Tlalpan,Colonia,San Pedro Apóstol,14091
14080,Ciudad de México,Tlalpan,Colonia,Belisario Domínguez Sección XVI,14091
14080,Ciudad de México,Tlalpan,Barrio,Del Niño Jesús,14091
14090,Ciudad de México,Tlalpan,Colonia,La Joya,14091
14100,Ciudad de México,Tlalpan,Colonia,Pedregal de San Nicolás 1A Sección,14201
14100,Ciudad de México,Tlalpan,Colonia,Pedregal de San Nicolás 2A Sección,14201
14100,Ciudad de México,Tlalpan,Colonia,Pedregal de San Nicolás 3A Sección,14201
14100,Ciudad de México,Tlalpan,Colonia,Pedregal de San Nicolás 4A Sección,14201
14100,Ciudad de México,Tlalpan,Colonia,Pedregal de San Nicolás 5A Sección,14201
